iter	Passed	Remaining
488	651	680
489	652	679
490	653	677
491	655	676
492	656	675
493	657	673
494	658	672
495	660	670
496	661	669
497	662	668
498	664	666
499	665	665
500	666	664
501	668	662
502	669	661
503	670	660
504	672	658
505	673	657
506	674	656
507	675	654
508	677	653
509	678	652
510	680	650
511	681	649
512	682	648
513	684	646
514	685	645
515	686	644
516	688	642
517	689	641
518	690	640
519	692	638
520	693	637
521	694	636
522	696	634
523	697	633
524	698	632
525	699	630
526	701	629
527	702	628
528	703	626
529	705	625
530	706	624
531	707	622
532	709	621
533	710	620
534	711	618
535	713	617
536	714	615
537	715	614
538	717	613
539	718	611
540	719	610
541	721	609
542	722	607
543	723	606
544	724	605
545	726	603
546	727	602
547	729	601
548	730	599
549	731	598
550	732	597
551	734	595
552	735	594
553	736	593
554	738	591
555	739	590
556	740	589
557	742	587
558	743	586
559	744	585
560	745	583
561	747	582
562	748	580
563	749	579
564	751	578
565	752	577
566	753	575
567	755	574
568	756	572
569	757	571
570	759	570
571	760	568
572	761	567
573	762	566
574	764	564
575	765	563
576	766	562
577	768	560
578	769	559
579	770	558
580	772	556
581	773	555
582	774	554
583	775	552
584	777	551
585	778	550
586	780	548
587	781	547
588	782	546
589	783	544
590	785	543
591	786	542
592	787	540
593	789	539
594	790	538
595	791	536
596	793	535
597	794	533
598	795	532
599	796	531
600	798	529
601	799	528
602	800	527
603	801	525
604	803	524
605	804	523
606	805	521
607	807	520
608	808	518
609	809	517
610	810	516
611	812	514
612	813	513
613	814	512
614	815	510
615	817	509
616	818	508
617	819	506
618	820	505
619	822	503
620	823	502
621	824	501
622	826	499
623	827	498
624	828	497
625	830	495
626	831	494
627	832	493
628	833	491
629	835	490
630	836	489
631	837	487
632	839	486
633	840	485
634	841	483
635	843	482
636	844	481
637	845	479
638	847	478
639	848	477
640	849	475
641	850	474
642	852	473
643	853	471
644	854	470
645	855	469
646	857	467
647	858	466
648	859	465
649	861	463
650	862	462
651	863	461
652	865	459
653	866	458
654	867	457
655	869	455
656	870	454
657	871	453
658	873	451
659	874	450
660	875	449
661	876	447
662	878	446
663	879	445
664	880	443
665	882	442
666	883	441
667	884	439
668	885	438
669	887	436
670	888	435
671	889	434
672	891	432
673	892	431
674	893	430
675	894	428
676	896	427
677	897	426
678	898	424
679	899	423
680	901	422
681	902	420
682	903	419
683	904	418
684	906	416
685	907	415
686	908	414
687	910	412
688	911	411
689	912	410
690	914	408
691	915	407
692	916	406
693	918	404
694	919	403
695	920	402
696	922	400
697	923	399
698	924	398
699	926	396
700	927	395
701	928	394
702	930	392
703	931	391
704	932	390
705	934	388
706	935	387
707	936	386
708	937	384
709	939	383
710	940	382
711	941	380
712	943	379
713	944	378
714	945	376
715	947	375
716	948	374
717	949	373
718	951	371
719	952	370
720	953	369
721	955	367
722	956	366
723	957	365
724	959	363
725	960	362
726	961	361
727	963	359
728	964	358
729	966	357
730	967	355
731	968	354
732	969	353
733	971	351
734	972	350
735	973	349
736	975	347
737	976	346
738	977	345
739	978	343
740	980	342
741	981	341
742	982	339
743	984	338
744	985	337
745	986	335
746	987	334
747	989	333
748	990	331
749	991	330
750	992	329
751	994	327
752	995	326
753	996	325
754	998	323
755	999	322
756	1000	321
757	1001	319
758	1003	318
759	1004	317
760	1005	315
761	1006	314
762	1008	313
763	1009	311
764	1010	310
765	1012	309
766	1013	307
767	1014	306
768	1016	305
769	1017	303
770	1018	302
771	1020	301
772	1021	299
773	1022	298
774	1023	297
775	1025	295
776	1026	294
777	1027	293
778	1029	292
779	1030	290
780	1031	289
781	1033	288
782	1034	286
783	1035	285
784	1037	284
785	1038	282
786	1039	281
787	1041	280
788	1042	278
789	1043	277
790	1044	276
791	1046	274
792	1047	273
793	1048	272
794	1050	270
795	1051	269
796	1052	268
797	1053	266
798	1055	265
799	1056	264
800	1058	262
801	1059	261
802	1060	260
803	1062	258
804	1063	257
805	1064	256
806	1066	254
807	1067	253
808	1068	252
809	1069	250
810	1071	249
811	1072	248
812	1074	247
813	1076	245
814	1077	244
815	1079	243
816	1080	242
817	1081	240
818	1083	239
819	1084	238
820	1085	236
821	1086	235
822	1088	234
823	1090	232
824	1092	231
825	1094	230
826	1096	229
827	1097	228
828	1100	227
829	1102	225
830	1104	224
831	1107	223
832	1110	222
833	1112	221
834	1114	220
835	1116	218
836	1117	217
837	1119	216
838	1122	215
839	1124	214
840	1125	212
841	1126	211
842	1128	210
843	1130	208
844	1131	207
